Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
,Мистецтво неможливого. Посібник із досягнення неймовірних цілей.,,,,,Yakaboo Publishing,,9786177933105,
Марія Росс,Емпатія в бізнесі. Співпереживання як двигун корпоративного успіху.,,,,,Yakaboo Publishing,,9786177933112,
Джіно Альберті,"Червоний пакунок. Лінда Вольфсґрубер, Джіно Альберті.",,,,,Yakaboo Publishing,,9786177933129,Вік 3-6
Джон Рейті,РДУГ: перезавантаження. Ефективні стратегії для повноцінного життя з розладом дефіциту уваги та гіпе.,,,,,Yakaboo Publishing,2022.0,9786177933136,
Сергій Біденко,Репутаційний антистрес. Сергій Біденко.,,,,,Yakaboo Publishing,,9786177933143,
Лорен Мартін,Книга настроїв. Як я приборкала негативні емоції та повернула собі радість життя.,,,,,Yakaboo Publishing,,9786177933150,
Тетяна Гайдай,"Швидконіжка і дуже велосипедна пригода. Юрій Гайдай, Тетяна Гайдай.",,,,,Yakaboo Publishing,,9786177933167,Вік 6-10
,Звільнений розум. Як стати психологічно гнучким і перемогти Внутрішнього Диктатора.,,,,,Yakaboo Publishing,,9786177933198,
Кетрін Мей,Зимівля. Цінність відпочинку й усамітнення у скрутні часи.,,,,,Yakaboo Publishing,,9786177933204,
,Хочу! Як навчитися розпізнавати свої справжні бажання.,,,,,Yakaboo Publishing,2022.0,9786177933211,
,Міф досвіду. Чому ми засвоюємо хибні уроки і як це виправити?.,,,,,Yakaboo Publishing,,9786177933228,
Антоніна Оксанич,Розумію тебе! Як виховувати дітей без крайнощів.,,,,,Yakaboo Publishing,,9786177933242,
Наталія Бушковська,Діти 0-2. Народження і виховання в українських реаліях.,,,,,Yakaboo Publishing,2023.0,9786177933280,
Кузько Кузякін,Неперевіршені задачі.,,,,,Yakaboo Publishing,,9786177933297,Вік 6-10
,Їж як тварини. Природа здорового харчування.,,,,,Yakaboo Publishing,,9786177933303,
,Цифрові громадяни. Як виробити здорові диджитал-навички у ваших дітей.,,,,,Yakaboo Publishing,,9786177933310,
,Вони перемогли. 11 історій про людей з ранами — видимими і невидимими.,,,,,Yakaboo Publishing,,9786177933334,
,1937. Максим Савчук.,,,,,Yakaboo Publishing,2022.0,9786177933495,
,Шпигунське виховання. Розвідницькі трюки батькам для науки.,,,,,Yakaboo Publishing,,9786177933631,
Любомир Остапів,Війна та бюджет.,,,,,Yakaboo Publishing,,9786177933648,
,Життя посеред життя.,,,,,Yakaboo Publishing,,9786177933655,
,Коли говорять гармати… Антологія української воєнної прози ХХ століття.,,,,,Yakaboo Publishing,,9786178107536,Зарубіжна класична література
Діана Волинець,"CURLY менеджмент. Як управляти проєктами, не зраджуючи собі.",,,,,Yakaboo Publishing,2023.0,9786178107550,
,Незламні. Книжка про спротив українських жінок у війні з російськими загарбниками.,,,,,Yakaboo Publishing,,9786178107598,
Василь Махно,"З голосних і приголосних: енциклопедичний словник імен, міст, птахів, рослин та усякої всячини.",,,,,Yakaboo Publishing,,9786178107611,
Вікторія Берещак,Комунікаційна стратегія в бізнесі. Вікторія Берещак.,,,,,Yakaboo Publishing,,9786178107635,
"Наталія Самойленко, Анна Бєлокоз","Виховання харчування. Н. Самойленко, А. Бєлокоз.",,,,,Yakaboo Publishing,,9786178107659,
Алекс Роулінгс,Та заговори вже! Посібник із вивчення мов від поліглота.,,,,,Yakaboo Publishing,,9786178107703,
Людмила Старицька-Черняхівська,Людмила Старицька-Черняхівська. Вибрані твори.,,,,,Yakaboo Publishing,2023.0,9786178107727,Українська класична література
Майк Йогансен,Майк Йогансен. Вибрані твори.,,,,,Yakaboo Publishing,2023.0,9786178107734,Українська класична література
Куліш Пантелеймон Олександрович,Пантелеймон Куліш. Вибрані твори.,,,,,Yakaboo Publishing,2023.0,9786178107741,Українська класична література
,Блекаут. Хроніки нашого життя під час війни Росії проти України.,,,,,Yakaboo Publishing,,9786178107758,
,BLACKOUT. Chronicles of Our Life During Russia’s War Against Ukraine.,,,,,Yakaboo Publishing,,9786178107765,
,Таємна пригода… Антологія української еротичної прози порубіжжя ХІХ–ХХ ст..,,,,,Yakaboo Publishing,2023.0,9786178107789,Українська класична література
Леся Українка,Леся Українка. Вибрані твори.,,,,,Yakaboo Publishing,2023.0,9786178107796,Українська класична література
Настя Мельниченко,Ярчик і дев’ять собак. Настя Мельниченко.,,,,,Yakaboo Publishing,2023.0,9786178107802,Вік 6-10
Василь Королів-Старий,Василь Королів-Старий. Вибрані твори.,,,,,Yakaboo Publishing,,9786178107819,Українська класична література
,Арабески. Антологія української малої прози І половини ХХ ст.,,,,,Yakaboo Publishing,,9786178107833,Українська класична література
Алла Заяць,Енергетичний менеджмент: практичний посібник з керування власною енергією.,,,,,Yakaboo Publishing,,9786178107857,
Іван Котляревський,Іван Котляревський. Вибрані твори.,,,,,Yakaboo Publishing,,9786178107888,Зарубіжна класична література
Bad Mama,"Розлучись без страху. Досвід тієї, яка наважилася.",,,,,Yakaboo Publishing,2023.0,9786178107918,
Іван Карпенко-Карий,Іван Карпенко-Карий. Вибрані твори.,,,,,Yakaboo Publishing,,9786178107925,Українська класична література
KUMON,Ольга Кобилянська. Вибрані твори.,,,,,Yakaboo Publishing,,9786178107963,Українська класична література
Клер Гейвуд,Доньки Спарти.,,,,,Yakaboo Publishing,,9786178107987,Зарубіжна сучасна література
Тетяна Водотика,"Виклик, шанс, зміна. Історія українського підприємництва.",,,,,Yakaboo Publishing,2023.0,9786178222000,
Валер’ян Підмогильний,Валер'ян Підмогильний. Вибрані твори.,,,,,Yakaboo Publishing,2023.0,9786178222024,Українська класична література
Василь Стефаник,Василь Стефаник. Вибрані твори.,,,,,Yakaboo Publishing,2023.0,9786178222055,Українська класична література
Іван Франко,Іван Франко. Вибрані твори.,,,,,Yakaboo Publishing,2023.0,9786178222086,Українська класична література
Володимир Винниченко,Володимир Винниченко. Вибрані твори.,,,,,Yakaboo Publishing,2023.0,9786178222109,Українська класична література
Емма Броквелл,"Чому мені ніхто не сказав? Як захищати, зцілювати та плекати своє тіло через материнство.",,,,,Yakaboo Publishing,2023.0,9786178222222,
Артем Шевченко,"Воєнна розвідка України. У небі, на морі, на землі. Книжка від ГУР МО.",,,,,Yakaboo Publishing,2024.0,9786178222314,
Емі Оделл,"Анна. Біографія Анни Вінтур, головної редакторки Vogue.",,,,,Yakaboo Publishing,2023.0,9786178222352,
Станіслав Арсьонов,Посібник зі щастя. Як наповнити своє життя достатком і радістю.,,,,,Yakaboo Publishing,2024.0,9786178222529,
Філіп Зімбардо,Ефект Люцифера. Філіп Зімбардо.,,,,,Yakaboo Publishing,,9789669763365,
Емі Чуа,Три сили. Як виховують в успішних спільнотах.,,,,,Yakaboo Publishing,2019.0,9789669763389,
Сергій Клімов,Нерозказана історія українського виноробства.,,,,,Yakaboo Publishing,2023.0,978617821 6184,
,Ким ми є? Національні спільноти та корінні народи України.,,,,,Ukrainer,2022.0,9786176425939,
,Ukrainer. Країна зсередини 2.,,,,,Ukrainer,,9786178216009,
,Як ми назвемо цю війну?.,,,,,Ukrainer,2024.0,9786178216016,
,Ukraine from above.,,,,,Ukrainer,,9786178216023,
Лаюк Мирослав,Бахмут.,,,,,Ukrainer,2023.0,9786178216092,
Богдан Логвиненко,Деокупація.,,,,,Ukrainer,,9786178216177,Українська сучасна література
Богдан Логвиненко,Деокупація.,,,,,Ukrainer,,9786178216177,Українська сучасна література
,Різдво та Маланка.,,,,,Ukrainer,,9786178216191,
,Who We Are: Indigenous People and National Minorities of Ukraine.,,,,,Ukrainer,2022.0,9786176425939(1),
Макс Сір,Гамлет.,,,,,UA Comix,2020.0,9786177595679,
Анна Санден,Все це триватиме далі.,,,,,UA Comix,2020.0,9786177595723,
Джошуа Райт,Змій Ледащо.,,,,,UA Comix,2021.0,9786177595785,
Богдан Кордоба,Твій Мальопис,,,,,UA Comix,2020.0,9786177595808,
Люда Самусь,Арідник. Сотворення світу.,,,,,UA Comix,2022.0,9786178056049,
Георгій Бабанський,Очі демона. Франко.,,,,,UA Comix,2023.0,9786178056087,
Алан Мартін,Танкістка.,,,,,UA Comix,2023.0,9786178056216,
Богдан Кордоба,3.3.3.,,,,,UA Comix,2023.0,9786178056285,
Максим Солнцев,Залізний ідол. Сфера. Випуск 1.,,,,,UA Comix,2024.0,9786178056346,
Максим Солнцев,Залізний ідол. Сфера. Випуск 2.,,,,,UA Comix,2024.0,9786178056360,
Андрій Данкович,Саркофаг.,,,,,UA Comix,2017.0,9789661517416,
Андрій Данкович,Мор.,,,,,UA Comix,2017.0,9789669773319,
Юрій Яновський,Майстер корабля.,,,,,Pabulum,,9786178325008,Українська класична література
Григорій Тютюнник,Три зозулі з поклоном.,,,,,Pabulum,2023.0,9786178325015,Українська класична література
В. Домонтович,Дівчина з ведмедиком. В.,,,,,Pabulum,,9786178325022,Українська сучасна література
Ростислав Семків,Як писали класики.,,,,,Pabulum,2016.0,9789669761507,
,Пиши сильно.,,,,,Pabulum,,9789669761521,
"Грем Макстон, Йорген Рандерс",У пошуках добробуту.,,,,,Pabulum,2017.0,9789669761538,
,Як читати класиків.,,,,,Pabulum,,9789669779014,
,Як читати класиків.,,,,,Pabulum,,9789669779014,
Юрій Андрухович,ВОРОХТАРІУМ: Літературний тріалог з діалогом і монологами.,,,,,Pabulum,2018.0,9789669779021,
,Як будується оповідання. Майк Йогансен.,,,,,Pabulum,,9789669779045,
,Визволення тварин.,,,,,Pabulum,,9789669779052,
,Двобій за правду. Правила інтерв’ю Мустафи Найєма.,,,,,Pabulum,,9789669797100,
,Сотворіння світу. Сім днів із Тарасом Прохаськом. Тетяна Терен.,,,,,Pabulum,,9789669797117,
,Випивка. Історія кохання.,,,,,Pabulum,,9789669797124,
Гільде Естбю,"Углиб за морським коником. Книжка про пам’ять, яка запам’ятається.",,,,,Pabulum,2020.0,9789669797131,
Ростислав Семків,Уроки короля жахів: як писати горор. Ростислав Семків.,,,,,Pabulum,2020.0,9789669797148,
Ольга Кобилянська,Царівна.,,,,,Pabulum,,9789669797193,Українська класична література
,"Лікарю, я помираю?.",,,,,Pabulum,,97896697971241,
Шеллі Рід,Шлях ріки.,,,,,ORLANDO,2024.0,9786178299750,Зарубіжна сучасна література
Мар'яна Божко,"Книжка, яку я [не] писала.",,,,,ORLANDO,2024.0,9786179507618,Українська сучасна література
Кейт Утєва,Так убивати вміють тільки діти.,,,,,ORLANDO,2024.0,9786179507625,Українська сучасна література
Галина Тарасенко,Колишнім не читати.,,,,,ORLANDO,2024.0,9786179507632,Українська сучасна література
Валерія Пампуха,"Чорний блокнот, або А чому би й ні.",,,,,ORLANDO,2024.0,9786179507649,Українська сучасна література
Соня Капинус,Білі кролики.,,,,,ORLANDO,2024.0,9786179507656,Українська сучасна література
Христина Сащук,Ластівки.,,,,,ORLANDO,2024.0,9786179507663,Українська сучасна література
Валентина Захабура,"Панцир, лапи й крила пані Оксани (у).",,,,,Nebo BookLab Publishing,2024.0,9786175222683,Вік 6-10
Бйорн Сортланн,Таємниця Венеції. Сортланн Бйорн.,,,,,Nebo BookLab Publishing,,9786177537044,Вік 10-14
,Один мільйон метеликів. Едвард ван де Вендел.,,,,,Nebo BookLab Publishing,,9786177537051,Вік 3-6
,Таємниця Лондона. Сортланн Бйорн.,,,,,Nebo BookLab Publishing,,9786177537143,Вік 10-14
,Лілі та море.,,,,,Nebo BookLab Publishing,,9786177537167,Вік 3-6
,Сніговий Лев. Джим Хелмор.,,,,,Nebo BookLab Publishing,,9786177537181,Вік 3-6
,"Амелія. Ітзіар Міранда, Хорхе Міранда.",,,,,Nebo BookLab Publishing,,9786177537228,Вік 6-10
,Боги та Богині давньогрецької міфології.,,,,,Nebo BookLab Publishing,,9786177537242,Енциклопедії та наукові книжки
,Таємниця Луксора. Сортланн Бйорн.,,,,,Nebo BookLab Publishing,,9786177537259,Вік 10-14
,Фріда і дракон Артур Гай у Франції. Тетяна Прегл Кобе.,,,,,Nebo BookLab Publishing,,9786177537273,Вік 6-10
,Таємний сад. Бернетт Франсіс.,,,,,Nebo BookLab Publishing,,9786177537334,Підліткам
,Мій друг кит повернувся. Бенджі Девіс.,,,,,Nebo BookLab Publishing,,9786177537433,Вік 3-6
"Марі-Франсін Хеберт, Ґійом Перро",Загадка животика пані Лубіду. Марі-Франсін Хеберт.,,,,,Nebo BookLab Publishing,2018.0,9786177537457,Вік 3-6
Лене Кобербьоль,Дика відьма. Бойове хрещення.. Лене Кобербьоль.,,,,,Nebo BookLab Publishing,2019.0,9786177537495,Зарубіжна сучасна література
,Аж ніяк не жіноче вбивство. Стівенс Робін.,,,,,Nebo BookLab Publishing,,9786177537501,Вік 10-14
,Рубін в імлі. Подарункове видання.. Філіп Пулман.,,,,,Nebo BookLab Publishing,,9786177537525,Підліткам
,Таємниця Нью-Йорка. Бйорн Сортланн.,,,,,Nebo BookLab Publishing,,9786177537532,Вік 10-14
,Бабусина пташка.,,,,,Nebo BookLab Publishing,,9786177537556,Вік 3-6
,"Метелик, який тупав ногою. Кіпллінґ Редьярд.",,,,,Nebo BookLab Publishing,,9786177537587,Вік 10-14
Габріель Венсан,Ернест та Селестіна. Загубили Сімеона.,,,,,Nebo BookLab Publishing,2019.0,9786177537600,Вік 0-3
Габріель Венсан,Ернест та Селестина. Ернест хворіє.,,,,,Nebo BookLab Publishing,2020.0,9786177537617,Вік 0-3
Фін-Олей Генріх,Мауліна Шмітт. Моє зруйноване королівство. Фін-Олей Генріх.,,,,,Nebo BookLab Publishing,2019.0,9786177537624,Вік 10-14
,Тінь на півночі. Чорно-біле видання. Філіп Пулман.,,,,,Nebo BookLab Publishing,,9786177537631,Підліткам
,ТІнь на півночі. Подарункове видання. Філіп Пулман.,,,,,Nebo BookLab Publishing,,9786177537648,Підліткам
,Острів скарбів. Стівенсон Роберт Луїс.,,,,,Nebo BookLab Publishing,,9786177537679,Вік 10-14
,Навіть монстри чистять зуби. Джессіка Мартінелло.,,,,,Nebo BookLab Publishing,,9786177537723,Вік 0-3
,Ким я мрію бути?.,,,,,Nebo BookLab Publishing,,9786177537730,Вік 3-6
Габріель Венсан,Ернест та Селестина. Ернест у цирку.,,,,,Nebo BookLab Publishing,2021.0,9786177537761,Вік 0-3
Габріель Венсан,Ернест та Селестіна. Вуличні музиканти.,,,,,Nebo BookLab Publishing,2020.0,9786177537778,Вік 0-3
,Велика книга драконів.,,,,,Nebo BookLab Publishing,,9786177537785,Енциклопедії та наукові книжки
Жозеп Луїс Бадаль,Хопі. Зелений собака. Жозеп Луїс Бадаль.,,,,,Nebo BookLab Publishing,2020.0,9786177537792,Вік 10-14
