Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Жіже Карбон,Музична скринька. У пошуках джерел,Українська мова,,,,Наша Ідея,2023.0,9786178109103.0,Комікси
"Денис Задоєний,Олексій Кутько,Олена Смородіна",Хєрмен,Українська мова,,,,Vovkulaka,2023.0,9786177782321.0,Комікси
Конами Каната,Чі. Життя однієї киці Том 8,Українська мова,,,,Наша Ідея,2023.0,9786178109387.0,Комікси
"Франческо Маттеуцці,Марко Мараджі",Саме той BANKSY,Українська мова,,,,Ранок,2023.0,9786170981042.0,Комікси
"Денис Фадєєв,Максим Богдановський",Княжа Воля. Том 1. Легенди Хом'якиєва,Українська мова,,,,The will production,2018.0,9789666999323.0,Комікси
"Денис Фадєєв,Бугайова Л.В.",Воля. Том 2,Українська мова,,,,The will production,2018.0,9789666999569.0,Комікси
Містер Тан,Крута Адель. Том 8. Батьки на продаж!,Українська мова,,,,Наша Ідея,2023.0,9786178109271.0,Комікси
Симонсон Луїза,Супермен. Світ очима супергероя,Українська мова,,,,Країна Мрій,2018.0,9789669480033.0,Комікси
"Іан Флінн,Адам Брайс Томас",Книга Їжак Сонік 30річчя,Українська мова,,,,Mimir Media,2022.0,9786177984244.0,Комікси
Ешлі Спайрс,Бінкі має доручення,Українська мова,,,,Ранок,2023.0,9786170980205.0,Комікси
Ешлі Спайрс,Бінкі. Випробування,Українська мова,,,,Ранок,2023.0,9786170980199.0,Комікси
Ешлі Спайрс,Бінкі. Рятівник,Українська мова,,,,Ранок,2023.0,9786170980182.0,Комікси
Ешлі Спайрс,Бінкі. Космокіт,Українська мова,,,,Ранок,2023.0,9786170980175.0,Комікси
Захар Поліщук,Химерники. Випуск 1. Пайка,Українська мова,,,,UA Comix,2022.0,9786178056124.0,Комікси
Джоді Гаузер,Stranger Things. Книга 2. Шоста,Українська мова,,,,,2023.0,9786178280406.0,Комікси
Джоді Гаузер,Stranger Things. Книга 3. У полум'я,Українська мова,,,,,2023.0,9786178280413.0,Комікси
"Джефф Джонс,Джейсон Фебок,Бред Андерсон",Бетмен. Троє джокерів,Українська мова,,,,,2023.0,9786178280710.0,Комікси
Марк Ґуґґенгайм,Блейд: Гріхи батька. Том 2,Українська мова,,,,Varvar Publishing,2024.0,9786179524769.0,Комікси
Ґарт Енніс,Каратель МАХ. Том 2,Українська мова,,,,Varvar Publishing,2024.0,9786179524752.0,Комікси
Ґійом Перро,Космічний поштар. Том 3. Голодний край,Українська мова,,,,Блим-Блим,2023.0,9786178019075.0,Комікси
