Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Борис Кордемський,Плюс кмітливість. Книга 4,Українська мова,,,,Богдан,2010.0,9789661006903.0,Довідники (Школярам та абітурієнтам)
Володимир Грицеляк,"Політико-адміністративна карта ""Україна""  м-б 1:1 500 000",Українська мова,,,,Українська Картографічна Група,2024.0,9786177447657.0,Демонстраційні матеріали
Собчук О.С.,Ігровий тренажер. Англійська мова. 2 клас,Українська / Англійська,,,,УЛА,2023.0,9786175442036.0,Англійська мова
Собчук О.С.,Ігровий тренажер. Англійська мова. 1 клас,Українська / Англійська,,,,УЛА,2023.0,9786175442029.0,Англійська мова
Собчук О.С.,Ігровий тренажер. Англійська мова. 3 клас,Українська / Англійська,,,,УЛА,2023.0,9786175442043.0,Англійська мова
Собчук О.С.,Ігровий тренажер. Англійська мова. 4 клас,Українська мова,,,,УЛА,2023.0,9786175442050.0,Англійська мова
Мацюк В,Мацюк В. Фізика. Збірник задач 9 клас.,Українська мова,,,,Підручники і посібники,2018.0,9789660731530.0,Фізика 9 клас
Корчевська О.,"Розробки уроків з математики 1 кл.(до підр. Корчевська О., Козак М..).",Українська мова,,,,Підручники і посібники,2019.0,9789660734524.0,Підручники для 1 класу з математики
Володимир Грицеляк,СВІТ. Політична карта м-б 1:55 000 000,Українська мова,,,,Українська Картографічна Група,2023.0,9786177447602.0,Атласи. Контурні карти (Школярам та абітурієнтам)
Володимир Грицеляк,СВІТ. Політична карта м-б 1:35 000 000,Українська мова,,,,Українська Картографічна Група,2022.0,9786177447640.0,Атласи. Контурні карти (Школярам та абітурієнтам)
Грущинська І.В. та ін.,"Я досліджую світ, 1кл. Роб. зош., ч.2 ( 2021 ) 3-те вид.",Українська мова,,,,Оріон,2021.0,9789669911018.0,Підручники з природознавства та я досліджую світ
Безуглий,"Безуглий В. В. ЗНО 2024, Географія. Комплексна підготовка.",Українська мова,,,,Генеза,2020.0,9789661111140.0,ЗНО Географія
Тарасенкова Н. А.,НУШ Математика. 6 клас. Експрес-контроль. Частина 1,Українська мова,,,,Оріон,2023.0,9789669912275.0,Математика (Школярам та абітурієнтам)
Ривкінд Й.Я.,"Інформатика, 5 кл., Робочий зошит (2022) НУШ",Українська мова,,,,Генеза,2022.0,97896611131061.0,Інформатика (Школярам та абітурієнтам)
Тарасенкова Н. А.,НУШ Математика. 6 клас. Експрес-контроль. Частина 1,Українська мова,,,,Оріон,2023.0,9789669912275.0,Математика (Школярам та абітурієнтам)
Ривкінд Й.Я.,"Інформатика, 5 кл., Робочий зошит (2022) НУШ",Українська мова,,,,Генеза,2022.0,97896611131061.0,Інформатика (Школярам та абітурієнтам)
Істер О.С.,НУШ Навчальний посібник. Самостійні та діагностичні роботи. Математика. 6 клас. Частина 1,Українська мова,,,,,2023.0,9789661113502.0,Математика (Школярам та абітурієнтам)
"Мелешенко Т.В.,Ашортiа Є.Д.","6 клас. НУШ. Етика. Робочий зошит (Мелешенко Т.В., Ашортіа Є.Д.)",Українська мова,,,,Оріон,2022.0,9789969912268.0,Етика. Логіка (Школярам та абітурієнтам)
Тарасенкова Н. А.,Тарасенкова Математика 6 клас Самостійні та контрольні роботи (2023) НУШ,Українська мова,,,,Оріон,2023.0,9789669912299.0,Математика (Школярам та абітурієнтам)
Хитра З.М.,"НУШ Здоров'я, безбека та добробут. 5 клас. Зошит-практикум",Українська мова,,,,Оріон,2022.0,9789669912114.0,Основи здоров`я  (Школярам та абітурієнтам)
Тарасенкова Н. А.,НУШ Математика. 6 клас. Щоденник самооцінювання навчальних досягнень,Українська мова,,,,Оріон,2023.0,9789669912329.0,Математика (Школярам та абітурієнтам)
Щупак І.Я.,5 клас. НУШ. Вступ до Історії України та громадянської освіти. Мої досягнення.,Українська мова,,,,Оріон,2023.0,9789669912305.0,Історія України (Школярам та абітурієнтам)
Гільберг Т.Г.,"Я досліджую світ, 4 кл., Робочий зошит, Ч.1 (2023)",Українська мова,,,,Генеза,2023.0,9786178363208.0,Робочі зошити. Я досліджую світ
Гільберг Т.Г.,"Підручник Я досліджую світ, 2 кл, Ч.1 (2023)",Українська мова,,,,Генеза,2023.0,9786178363093.0,Робочі зошити. Я досліджую світ
Гільберг Т.Г.,"Я досліджую світ, 1 кл. Робочий зошит в 2 част., Ч.2  (2023)",Українська мова,,,,Генеза,2023.0,9789661113601.0,Робочі зошити. Я досліджую світ
"Гісь О.М.,Філяк І.В.",НУШ Математика. 2 клас. Навчальний посібник Частина 2 (у 3-х частинах) до підручника Гісь О.М. та ін.,Українська мова,,,,Ранок,2024.0,9786170988003.0,Математика (Школярам та абітурієнтам)
"Гісь О.М.,Філяк І.В.",НУШ Математика. 2 клас. Навчальний посібник. Частина 1 (у 3-х частинах) до підручника Гісь О.М. та ін.,Українська мова,,,,Ранок,2024.0,9786170987990.0,Математика (Школярам та абітурієнтам)
"Гісь О.М.,Філяк І.В.",НУШ Математика. 2 клас. Навчальний посібник. Частина 3 (у 3-х частинах) до підручника Гісь О.М. та ін.,Українська мова,,,,Ранок,2024.0,9786170988010.0,Математика (Школярам та абітурієнтам)
Істер О.С.,"АлгебАлгебра 9 клас Вправи, самостійні роботи, тематичні контрольні роботи, експрес-контроль",Українська мова,,,,Генеза,2023.0,9786178363017.0,Підручники з алгебри
Істер О.С.,"Геометрія, 9 кл. Зошит для самост. та темат. контрол. робіт",Українська мова,,,,Генеза,2024.0,9786178363253.0,Геометрія (Школярам та абітурієнтам)
Істер О.С.,"Алгебра, 9 кл. Зошит для самост. та темат. контрол. робіт (2023)",Українська мова,,,,Генеза,2023.0,9786178363246.0,Підручники з алгебри
Істер О.С.,НУШ Підручник Генеза Математика 6 клас Частина 2,Українська мова,,,,Генеза,,9789661113403.0,Математика (Школярам та абітурієнтам)
Істер О.С.,Математика 6 клас Частина 1 у 2-х частинах Підручник Істер О. С.частина 1,Українська мова,,,,Генеза,2023.0,9789661113397.0,Математика (Школярам та абітурієнтам)
Істер О.С.,"Математика, 5 кл., Самостійні та діагностичні роботи  (2022) НУШ",Українська мова,,,,,2022.0,97896611130691.0,Математика (Школярам та абітурієнтам)
"Пітер Льюіс-Джонс,Герберт Пучта,Гюнтер Гернгросс",Quick Minds (Ukrainian edition) НУШ 2 Activity Book,Українська / Англійська,,,,Лінгвіст,2020.0,9786178002480.0,Іноземна мова (Школярам та абітурієнтам)
"Коршевнюк Т. В.,Ярошенко О. Г.",НУШ Пізнаємо природу 6 клас. Робочий зошит,Українська мова,,,,Оріон,2023.0,9789669912411.0,Предметні зошити
Ашортiа Є.Д.,Етика 5 кл. робочий зошит (2022) НУШ,Українська мова,,,,Оріон,2022.0,9789969912121.0,Етика. Логіка (Школярам та абітурієнтам)
Істер О.С.,"Математика, 6 кл. Вправи, самостійні роботи, тематичні контрольні роботи, експрес-контроль",Українська мова,,,,Генеза,2023.0,9789661113632.0,Математика (Школярам та абітурієнтам)
Істер О.С.,"Математика 5 кл., Вправи, самост. роб., діагност. роб.,експрес-контроль (2023)",Українська мова,,,,Генеза,2023.0,9789661113625.0,Математика (Школярам та абітурієнтам)
Гільберг Т.Г.,"Я досліджую світ + Інформатика, 3 кл., Робочий зошит, Ч.2  (2023)",Українська мова,,,,Оріон,2023.0,9789661113182.0,Підручники з природознавства та я досліджую світ
Гільберг Т.Г.,"Я досліджую світ + Інформатика, 3 кл., Робочий зошит, Ч.1 (2023)",Українська мова,,,,Генеза,2023.0,9789661113175.0,Підручники з природознавства та я досліджую світ
Власов В.,"Вступ до історії України та громадянської освіти, 5кл. Робочий зошит",Українська мова,,,,Генеза,2023.0,9789661113090.0,Історія України (Школярам та абітурієнтам)
"Власов В.,Данилевська О.",сторія України. Всесвітня історія. Робочий зошит та діагностичні роботи. 6 клас,Українська мова,,,,Генеза,2023.0,9789661113519.0,Історія України (Школярам та абітурієнтам)
Волощук Є.В.,Зарубіжна література. 5 клас. Зошит для тематичного оцінювання,Українська мова,,,,Генеза,2022.0,9789661113076.0,Зарубіжна література
Волощук Є.В.,Зарубіжна література. 5 клас. Зошит для тематичного оцінювання,Українська мова,,,,Генеза,2022.0,9789661113076.0,Зарубіжна література
"Заболотний О.В.,Заболотний В.В.","Українська мова, 6кл. Зошит для підсумкового оцінювання навчальних досягнень",Українська мова,,,,Генеза,2022.0,9789661113533.0,Українська мова (Школярам та абітурієнтам)
