Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Макото Юкімура,Сага про Вінланд (Vinland Saga). Том 6,Українська мова,,,,Наша Ідея,2023,9786178109561,Манга
Масаакі Ніномія,Ґаннібал. Том 6,Українська мова,,,,Наша Ідея,2023,9786178109585,Манга
"Камоме Шірахама,Хіромі Сато",Кухня чаклунських капелюхів. Том 1,Українська мова,,,,Наша Ідея,2023,9786178109677,Манга
Ініо Асано,Соланін. Том 1,Українська мова,,,,Наша Ідея,2023,9786178109684,Манга
Масасумі Какідзакі,Сховок,Українська мова,,,,Наша Ідея,2023,9786178109691,Манга
Ініо Асано,Соланін. Том 2,Українська мова,,,,Наша Ідея,2023,9786178109721,Манга
Шіро Куроі,Левіафан. Том 3,Українська мова,,,,Наша Ідея,2024,9786178109745,Манга
"Канадзава Нобуакі,Ренда Хіторі",Гра короля. Том 2,Українська мова,,,,Наша Ідея,2023,9786178109752,Манга
"Юске Номура,Мунеюкі Канешіро",Синя тюрма (Blue lock). Том 2,Українська мова,,,,Наша Ідея,2023,9786178109769,Манга
Макото Юкімура,Сага про Вінланд (Vinland Saga). Том 7,Українська мова,,,,Наша Ідея,2024,9786178109776,Манга
Іппату,Проєкт «Цуґумі». Том 1,Українська мова,,,,Наша Ідея,2023,9786178109783,Манга
Масаакі Ніномія,Ґаннібал .Том 7,Українська мова,,,,Наша Ідея,2023,9786178109790,Манга
Камоме Шірахама,Ательє чаклунських капелюхів. Том 8,Українська мова,,,,Наша Ідея,2024,9786178109813,Манга
Цубаса Ямаґучі,Блакитний період. Том 1,Українська мова,,,,Наша Ідея,2024,9786178109837,Манга
Шінґо Хонда,Happy Land. Том 2,Українська мова,,,,Наша Ідея,2023,9786178109844,Манга
"Ренда Хіторі,Канадзава Нобуакі",Гра короля. Том 1,Українська мова,,,,Наша Ідея,2023,9786178109929,Манга
Джюн Мочідзухі,Мемуари Ванітаса. Том 1,Українська мова,,,,Наша Ідея,2024,9786178109943,Манга
Ічіґо Такано,Orange. Том 4,Українська мова,,,,Наша Ідея,2024,9786178109967,Манга
Dr.pepperco,"Прощавай, трояндовий саде. Том 1",Українська мова,,,,Наша Ідея,2024,9786178109998,Манга
Акі Хамаджі,Книга Манґа Самітниця-рокерка! Том 1,Українська мова,,,,Mal'opus,2024,9786178168001,Підліткова література
Ооно Косуке,Манґа Шлях домогосподаря. Том 5,Українська мова,,,,Mal'opus,2024,9786178168025,Манга
Усамару Фуруя,Манґа Крах людини. Том 1,Українська мова,,,,Mal'opus,2024,9786178168056,Манга
"Анко Юдзу,Сараса Наґасе,Май Мурасакі","Я стала лиходійкою, тому приборкаю фінального боса. Том 1",Українська мова,,,,Mal'opus,2024,9786178168063,Манга
Яна Тобосо,Манґа Темний дворецький. Том 3,Українська мова,,,,Mal'opus,2024,9786178168087,Манга
Nicke,"Понад Хмарами. Том 04. Дівчина, що впала з небес",Українська мова,,,,Lantsuta,2023,9786178202002,Манга
Джин Луень Ян,Аватар. Останній маг повітря. Книга 3. Розколина,Українська мова,,,,Lantsuta,2023,9786178202040,Манга
"Нацу Хюуґа,Nekokurage",Монолог травниці. Том 1,Українська мова,,,,Lantsuta,2023,9786178202095,Манга
AidaIro,Туалетний привид Ханако. Том 1,Українська мова,,,,Lantsuta,2023,9786178202118,Манга
AidaIro,Туалетний привид Ханако. Том 2,Українська мова,,,,Lantsuta,2024,9786178202125,Манга
AidaIro,Туалетний привид Ханако. Том 3,Українська мова,,,,Lantsuta,2024,9786178202187,Манга
