Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
В. П. Порощук,"Я досліджую світ. 4 клас. Частина 1 (за підручником Т. Г. Гільберг, С. С. Тарнавської, Н. М. Павич). ПШМ266",Українська мова,,,,Основа,2023.0,9786170041173.0,Довкілля
Зайцева О.А.,Пізнаємо природу. 5 клас. Бліцоцінювання. БУЧ004,Українська мова,,,,Основа,2023.0,9786170041227.0,Екологія
Горбунова,Англійська мова. 5 клас. Частина 1 ПАР001,Українська мова,,,,Основа,2023.0,9786170041128.0,Іноземні мови
О. О. Старова,УСІ діагностувальні роботи. Математика. 6 клас. КЗП013,Українська мова,,,,Основа,2023.0,9786170041333.0,"Математика, рахування"
"О. В. Компаній,Т. М. Бондар","Математика. 4 клас. Частина 1 (за підручником С. О. Скворцової, О. В. Онопрієнко). Мій конспект. ПШМ264",Українська мова,,,,Основа,2023.0,9786170041203.0,"Математика, рахування"
Наталія Компанець,"Корисні канікули. Прощавай, другий класе!. КРК013",Українська мова,,,,Основа,2020.0,9786170035127.0,Розвиток загальних здібностей
Нані Джавахідзе,Прописи-тренажер. Веселi свята,Українська мова,,,,Астра,2023.0,9786177307906.0,"Розвиток мови, логопедія"
Нані Джавахідзе,Прописи-тренажер. Африка,Українська мова,,,,Кенгуру,2023.0,9786177307203.0,"Письмо, прописи, моторика"
Нані Джавахідзе,Прописи-тренажер. Лицарi,Українська мова,,,,Кенгуру,2023.0,9786177307678.0,"Письмо, прописи, моторика"
Нані Джавахідзе,Прописи-тренажер. Лiсовi тварини,Українська мова,,,,Кенгуру,2023.0,9786177307937.0,"Письмо, прописи, моторика"
Нані Джавахідзе,Прописи-тренажер.Кумеднi тварини,Українська мова,,,,Кенгуру,2023.0,9786177307920.0,"Письмо, прописи, моторика"
Нані Джавахідзе,Прописи-тренажер. Принцеси,Українська мова,,,,Астра,2023.0,9786177307227.0,"Письмо, прописи, моторика"
Нані Джавахідзе,Прописи-тренажер. Пiрати,Українська мова,,,,Кенгуру,2023.0,9786177307913.0,"Письмо, прописи, моторика"
Нані Джавахідзе,Прописи-тренажер. У саду,Українська мова,,,,Астра,2023.0,9786177307258.0,"Письмо, прописи, моторика"
Коваль Н. Н.,Додавання,Українська мова,,,,АРТ,2023.0,9789667511906.0,"Математика, рахування"
Коваль Н. Н.,Множення,Українська мова,,,,АРТ,2023.0,9789667512149.0,"Математика, рахування"
Коваль Н. Н.,Віднімання,Українська мова,,,,АРТ,2023.0,9789667512132.0,"Математика, рахування"
Коваль Н. Н.,Додавання і віднімання,Українська мова,,,,АРТ,2023.0,9789667512439.0,"Математика, рахування"
Ірина Агаркова,Золотий віночок. 3 клас. Хрестоматія для додаткового читання,Українська мова,,,,Ранок,2018.0,9786170934307.0,"Читання, мовлення, логопедія"
,Gerund 1 (105),Українська / Англійська,,,,English Student,2023.0,9786177702688.0,Іноземні мови
,Military (500) англійська,Українська / Англійська,,,,English Student,2023.0,9786177702671.0,Іноземні мови
Наталка Малетич,Абетка (Картонки),Українська мова,,,,Видавництво Старого Лева,2023.0,9789664480885.0,"Читання, мовлення, логопедія"
Г. Ж. Іванова,Кроки до успіху Вчуся розв'зувати задачі 3 клас,Українська мова,,,,Основа,2020.0,9786170038869.0,"Математика, рахування"
Коваль Н. Н.,Хто під водою?,Українська мова,,,,АРТ,2022.0,9786170976031.0,Ранній розвиток
Коваль Н. Н.,Що як рухається?,Українська мова,,,,АРТ,2022.0,9786170976000.0,Ранній розвиток
Коваль Н. Н.,Які тварини?,Українська мова,,,,АРТ,2022.0,9786170975980.0,Ранній розвиток
Коваль Н. Н.,Що навколо?,Українська мова,,,,АРТ,2022.0,9786170975997.0,Ранній розвиток
,"""Прописи для дошкільнят. Мої перші прописи з розвиваючими завданнями""",,,,,АССА,2019.0,9786177661220.0,"Письмо, прописи, моторика"
Коваль Н. Н.,My Funny ABC Book,,,,,АРТ,2022.0,9786170975966.0,Іноземні мови
Ирина Солнышко,Читаємо з картинками. Щасливе порося,,,,,,2022.0,9789667510237.0,"Читання, мовлення, логопедія"
Ирина Солнышко,Читаємо з картинками. Сукня для сонечка,,,,,,2022.0,9789667510244.0,"Читання, мовлення, логопедія"
Сіліч С.,Завдання-5-хвилинки. Прописи. 5+,Українська мова,,,,УЛА,2022.0,9786175441053.0,"Письмо, прописи, моторика"
Сіліч С.,Завдання-5-хвилинки. Прописи. 3+,Українська мова,,,,УЛА,2022.0,9786175441039.0,"Письмо, прописи, моторика"
Сіліч С.,Завдання-5-хвилинки. Читання. 4+,Українська мова,,,,УЛА,2022.0,9786175441428.0,"Читання, мовлення, логопедія"
Лариса Зінов`єва,Абетка з прописами та завданнями. Транспорт,Українська мова,,,,УЛА,2022.0,9786175441213.0,"Письмо, прописи, моторика"
Лариса Зінов`єва,Абетка з прописами та завданнями. Тварини та птахи,,,,,УЛА,2022.0,9786175441206.0,"Письмо, прописи, моторика"
Лариса Зінов`єва,Абетка з прописами та завданнями. Світ навколо мене,,,,,УЛА,2022.0,9786175441190.0,"Письмо, прописи, моторика"
Сіліч С.,Завдання-5-хвилинки. Читання. 6+,Українська мова,,,,УЛА,2022.0,9786175441442.0,"Читання, мовлення, логопедія"
Муренець О.Г.,Экспресс-проверка.Математика. 4 класс: отрывные карточки к учебнику Математика Н.Листопад,,,,,Ранок,2021.0,9786170973153.0,"Математика, рахування"
Василь Федієнко,Англійська абетка в картках (англ мовою) (мінімальний брак),Українська / Англійська,,,,Видавничий дім Школа,2016.0,9789664293812.0,Іноземні мови
Без автора,Бумазяка розмовляка,Українська мова,,,,ЗІРКА,2021.0,9786176342137.0,Ранній розвиток
Без автора,Бумазяка рахувака,Українська мова,,,,ЗІРКА,2021.0,9786176342151.0,Ранній розвиток
Кукліна Г.І.,Навчальні матеріали. Абетка для дітей із порушеннями слуху,Українська мова,,,,Кенгуру,2021.0,9789667506605.0,Виховання дітей
Без автора,Мої перші прописи. Лінії.,Українська мова,,,,ЗІРКА,2018.0,9786176340973.0,"Письмо, прописи, моторика"
Без автора,Мої перші прописи. Цифри та лічба. Від 6 до 10.,Українська мова,,,,ЗІРКА,2018.0,9786176341000.0,"Письмо, прописи, моторика"
Без автора,Мої перші прописи. Цифри та лічба. Від 1 до 5.,Українська мова,,,,ЗІРКА,2018.0,9786176340997.0,"Письмо, прописи, моторика"
Катерина Смірнова,Маленький розумник. Велика завдань з наліпками. 4–5 р.,Українська мова,,,,УЛА,2019.0,9789662846201.0,Ранній розвиток
Інна Конопленко,"А,Б,В",російська,,,,Ранок,2017.0,9789667483333.0,"Письмо, прописи, моторика"
"Воскресенська К. О.,Воскресенська Н. О.","Грамотійко. Укр.мова, зошит, 3 кл. НОВИЙ",Українська мова,,,,Ранок,2021.0,9786170971753.0,"Письмо, прописи, моторика"
Коваль Н. Н.,Мова та комунікація,Українська мова,,,,АРТ,2021.0,9786170975812.0,Розвиток загальних здібностей
Агаркова Ірина Петрівна,Віднімання,,,,,АРТ,,9786177115686.0,"Математика, рахування"
Панасюк І.С.,Альбом з малювання 6 р. ж. 2 частина,Українська мова,,,,Ранок,2023.0,9786170914934.0,"Творчість, музичне виховання"
Панасюк І.С.,Альбом з малювання 5 р. ж. 2 частина,Українська мова,,,,Ранок,2023.0,9786170914910.0,"Творчість, музичне виховання"
Панасюк І.С.,Альбом з малювання 4 р. ж. 2 частина,Українська мова,,,,Ранок,2023.0,9786170914897.0,"Творчість, музичне виховання"
Кучерявенко А.,Цікаво обчислюємо в межах 10,,,,,Час майстрів,2014.0,9789669152145.0,"Математика, рахування"
Панасюк І.С.,Альбом дошколярика : образотворча діяльність у ст. дошк. віці (серия Впевн.старт) 5+,Українська мова,,,,Ранок,2020.0,9786170914279.0,"Творчість, музичне виховання"
"Діб Л.М.,Новікова В.М.",Промінчики знань. 4+ Робочий зошит. Інтегровані заняття ДИТИНА,Українська мова,,,,Ранок,2018.0,9786175405888.0,Розвиток загальних здібностей
Волкова І. І.,Пальчикові ігри для школярів,Українська мова,,,,Ранок,2018.0,9786170932785.0,"Письмо, прописи, моторика"
Без автора,Перші кроки з письма 5–6 років,,,,,АРТ,2017.0,9786177459230.0,"Письмо, прописи, моторика"
Без автора,Багаторазові блокноти. Штриховки,Українська мова,,,,АРТ,2018.0,9786170941251.0,"Письмо, прописи, моторика"
Без автора,Багаторазові блокноти. Порівняння,,,,,АРТ,2017.0,9786177459537.0,"Математика, рахування"
Носков С.,Самовчитель німецької мови,,,,,,2021.0,9789664987346.0,Іноземні мови
Вільям Воллес Денслоу,Читаємо англійською: Хампті-Дампті (кольорова),Українська / Англійська,,,,,2021.0,9789664987766.0,Іноземні мови
