Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Жуль Верн,Діти капітана Гранта (мінімальний брак),Українська мова,,,,Видавничий дім Школа,2019.0,9789664296912.0,Пригоди для підлітків
Степан Процюк,Полянами і хмарочосами,Українська,,,,Теза,2020.0,,Українська проза для підлітків
Гагеруп К.,Маркус і дівчата,Українська мова,,,,Теза,2020.0,9789664211625.0,Пригоди для підлітків
Есаулов О.,Державна справа.Справа №9,Українська,,,,Теза,2016.0,9789664211199.0,Детективи для підлітків
Моніка Пец,Серце часу. Книга 1. Невидиме місто (мінімальний брак),Українська мова,,,,Видавничий дім Школа,2020.0,9789664296844.0,Фантастика. Фентезі для підлітків
Штевнер Т.,ПОКЛИК ГЛИБИН. АЛЕЯ — ДІВЧИНА ВОДИ. Таня Штевнер. (мінімальний брак),Українська мова,,,,Видавничий дім Школа,2020.0,9789664296806.0,Пригоди для підлітків
Джонатан Страуд,"Агенція ""Локвуд і Ко"". Кн. 1 Сходи, що кричать.",Українська,,,,А-БА-БА-ГА-ЛА-МА-ГА,2019.0,9786175851647.0,Фантастика. Фентезі для підлітків
Єва Фьоллер,Час магії: Магічна гондола кн.1,Українська мова,,,,Ранок,2020.0,9786170954848.0,Фантастика. Фентезі для підлітків
Авторський колектив,Коли сніг пахне мандаринками,Українська,,,,Видавництво Старого Лева,2020.0,9786176798491.0,Зарубіжна проза для підлітків
,Вуличний кіт на ім’я Боб (тверда обкладинка) (мінімальний брак),Українська,,,,РМ,2020.0,9789669175472.0,Зарубіжна проза для підлітків
,Артеміус Фаул. Останній хранитель. кн.8,Українська,,,,Ранок,2017.0,9786170929181.0,Фантастика. Фентезі для підлітків
Барбара Космовська,Сучасна європейська підліткова книга. Б Космовська Буба. (мінімальний брак),Українська мова,,,,Видавничий дім Школа,2020.0,9789664296530.0,Любовні романи для підлітків
,Хмара,Українська мова,,,,Ранок,2019.0,9786170948335.0,Пригоди для підлітків
Льюис К.С.,Хроніки Нарнії. Повна історія чарівного світу,Українська мова,,,,Клуб сімейного дозвілля,2020.0,9786171271227.0,Книги жанру Фантастика. Фентезі. Містика
Есаулов О.,"Якого кольору собаки в Прип""яті. Справа №13 (Дитячий детектив)",Українська,,,,Теза,2019.0,,Детективи для підлітків
Караванська О.,Стильна книжка для панянки,Українська,,,,Видавництво Старого Лева,2015.0,9786176791560.0,Non-fiction для підлітків
,Требізон. Перший семестр,Українська мова,,,,Ранок,2019.0,9786170945198.0,Зарубіжна проза для підлітків
Барбара Космовська,Буба. Мертвий сезон (мінімальний брак),Українська мова,,,,Видавничий дім Школа,2020.0,,Зарубіжна проза для підлітків
,Канiкули для Iнформи,Українська мова,,,,Фоліо,2020.0,9789660364530.0,Фантастика. Фентезі для підлітків
Чбоски С.,"Привіт, це Чарлі, або Переваги сором’язливих",Українська,,,,РМ,2020.0,9789669171054.0,Пригоди для підлітків
,Дивовижна Еббі: королева драми,Українська мова,,,,Ранок,2019.0,9786170954374.0,Любовні романи для підлітків
,Ларс. LOL,Українська,,,,Видавництво Старого Лева,2020.0,9786176796848.0,Пригоди для підлітків
,Артеміус Фаул. Парадокс часу. кн.6,Українська,,,,Ранок,2017.0,9786170929167.0,Пригоди для підлітків
Наріне Абгарян,Манюня,Українська,,,,РМ,2016.0,9789669170835.0,Зарубіжна проза для підлітків
Керстін Ґір,Таймлес. Сапфірова книга (мінімальний брак),Українська мова,,,,Видавничий дім Школа,2017.0,9789664294444.0,Фантастика. Фентезі для підлітків
Гагеруп К.,Вище за небо,Українська мова,,,,Видавництво Старого Лева,2020.0,9786176796978.0,Любовні романи для підлітків
Андрій Кокотюха,Врятуйте Бетмена,Українська мова,,,,Фоліо,2020.0,9789660389977.0,Детективи для підлітків
,Люсі Локет: онлайн-катастрофа,Українська мова,,,,Ранок,2019.0,9786170951625.0,Зарубіжна проза для підлітків
Керстен,Замок у хмарах (мінімальний брак),Українська мова,,,,Видавничий дім Школа,2020.0,9789664295861.0,Фантастика. Фентезі для підлітків
,Слова на стінах,Українська,,,,Ранок,2019.0,9786170950604.0,Зарубіжна проза для підлітків
,Квідич крізь віки,Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2018.0,9786175851371.0,Фантастика. Фентезі для дітей
,Таємниця зміїної голови,російська,,,,А-БА-БА-ГА-ЛА-МА-ГА,2019.0,9786175850381.0,Детективи для підлітків
,Чудове чудовисько (3) і погане поганисько,російська,,,,А-БА-БА-ГА-ЛА-МА-ГА,2019.0,,Пригоди для підлітків
,Говори,Українська мова,,,,Vivat,2019.0,9789669820105.0,Сучасна зарубіжна проза
,Скелет без шафи,Українська мова,,,,Ранок,2019.0,9786170950017.0,Пригоди для підлітків
,Зниклий герой,Українська мова,,,,Ранок,2017.0,9786170932594.0,Фантастика. Фентезі для підлітків
,Суперагент 000,Українська мова,,,,Ранок,2018.0,9786170942975.0,Детективи для підлітків
Маренгольц К.,Література Мандрівка світом книжок,Українська мова,,,,Vivat,2018.0,9789669422392.0,Non-fiction для підлітків
,Веселі Роджерси та золото чудовиська,Українська мова,,,,Ранок,2018.0,9786170936622.0,Фантастика. Фентезі для підлітків
,Що приховує Кара Вінтер?,Українська мова,,,,Ранок,2017.0,9786170932648.0,Детективи для підлітків
,Сестри-вампірки 2,Українська мова,,,,Ранок,2019.0,9786170947444.0,Фантастика. Фентезі для підлітків
,Випробування в інтернаті,Українська мова,,,,Ранок,2017.0,9786170933805.0,Пригоди для підлітків
,Щоденник Ніккі 1: Не таке вже й казкове життя,Українська мова,,,,Ранок,2019.0,9786170943958.0,Зарубіжна проза для підлітків
,Бартімеус-2: Око Голема,Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2019.0,9786175851470.0,Книги жанру Фантастика. Фентезі. Містика
Керстін Ґір,Таймлес. Рубінова книга (мінімальний брак),Українська мова,,,,Видавничий дім Школа,2017.0,9789664294437.0,Фантастика. Фентезі для підлітків
