Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Юлія Стахівська,Verde,,,,,Смолоскип,2015.0,9789662164954,Поезія
Юлія Романюк,Танхельм. Первісний Дух (кольоровий зріз),Українська мова,,,,Фабула,2023.0,9786175220764,Сучасна українська проза
Юлія Романюк,Танхельм. Первісний Дух,Українська мова,,,,Фабула,2023.0,9786175220764,Книги жанру Фантастика. Фентезі. Містика
Юлія Мусаковська,Бог свободи,Українська мова,,,,Видавництво Старого Лева,2021.0,9786176799023,Поезія
Юлія Мельник,Кінець зв'язку,Українська мова,,,,Відкриття,2024.0,9786178224585,Сучасна українська проза
Юлія Мак,"Толіки. Про тих, хто перемотував касету олівцем",Українська мова,,,,Лабораторія,2023.0,9786178206079,Сучасна українська проза
Юлія Бережна,Петрівські історії. Цикл новел,Українська мова,,,,Креативна агенція «Артіль»,2023.0,9789669866042,Сучасна українська проза
Юлія Бережко-Камінська,Невідворотне,Українська мова,,,,Саміт-книга,2019.0,9789669860606,Поезія
Юліта Ран,Феерические приключения. Феи и Кристалл Жизни,російська,,,,Ранок,2019.0,9786170970848,Пригоди
Юліта Ран,Феєричні пригоди. Феї та Кристал Життя,Українська мова,,,,Ранок,2019.0,9786170970800,Пригоди
Юліта Ран,Феерические приключения. Феи и эликсир счастья,російська,,,,Ранок,2019.0,9786170970794,Пригоди
Юліта Ран,Феєричні пригоди. Феї та еліксир щастя,Українська мова,,,,Ранок,2019.0,9786170970503,Пригоди
Юліан Шпол,Юліан Шпол. Вибрані твори (Розстріляне Відродження),Українська мова,,,,Смолоскип,2007.0,9789668499469,Класична проза
Юдіт Германн,Вдома,Українська мова,,,,Видавництво Старого Лева,2023.0,9789664480908,Сучасна зарубіжна проза
Юваль Ной Харарі,Людина розумна. Історія людства від минулого до майбутнього,Українська мова,,,,Клуб сімейного дозвілля,2019.0,9786171215313,Історична проза
Ю Несбьо,Привид (КС) (нов оф.),Українська мова,,,,Фоліо,2013.0,9789660363540,Детективи
Этвуд М.,Оповідь служниці,Українська мова,,,,Клуб сімейного дозвілля,2020.0,9786171269019,Екранізації книг
Эрленд Лу,"Вантажівки ""Вольво""",Українська мова,,,,Фоліо,2015.0,9789660372542,Сучасна зарубіжна проза
Энг Ли,Двійник. Офіційна новелізація фільму,Українська мова,,,,КМ-Букс,2019.0,9789669483553,Бойовики. Госторосюжетна література
Эмис М.,"Стріла часу, або Природа злочину",Українська мова,,,,Клуб сімейного дозвілля,2020.0,9786171274389,Бойовики. Госторосюжетна література
Эко У.,Бавдоліно,Українська мова,,,,Фоліо,2019.0,9789660381506,Сучасна зарубіжна проза
Эко У.,Острів напередодні,Українська мова,,,,Фоліо,2016.0,9789660374348,Пригоди
Эко У.,Номер нуль,Українська мова,,,,Фоліо,2015.0,9789660372122,Сучасна зарубіжна проза
Экзюпери А. де Сен,Цитадель,Українська мова,,,,Фоліо,2017.0,9789660376304,Класична проза
Щоткіна К.,Хроніки Томосу,Українська мова,,,,Vivat,2019.0,9789669429261,Історична проза
Щириця П.,Місце сили (тв),Українська мова,,,,Ярославів Вал,2012.0,9786176050049,Поезія
Щигел М.,Зроби собi рай,Українська мова,,,,Темпора,2011.0,9786175690321,Класична проза
Щербаненко Дж.,Тенета зради,Українська мова,,,,Фоліо,2020.0,9789660389878,Детективи
Щепан Твардох,Покора,Українська мова,,,,Фабула,2024.0,9786175221488,Історична проза
Щепан Т.,Морфій,Українська мова,,,,Фабула,2018.0,9786170938701,Сучасна зарубіжна проза
Шурхало Дмитро,"Скоропадський, Маннергейм, Врангель: Кавалеристи-державники",Українська мова,,,,Залізний тато,2020.0,9786177653010,Історична проза
Шульман С.,Космополиты,російська,,,,Фабула,2018.0,9786170938657,Сучасна зарубіжна проза
Шульман С.,Космополіти,Українська мова,,,,Фабула,2018.0,9786170938640,Сучасна зарубіжна проза
Шульжик В.,Фунтик та стара з вусами,Українська мова,,,,Сім кольорів,2018.0,9789662054965,Пригоди
Шуберт И.,Мій друг пірат (Акварель),Українська мова,,,,Vivat,2016.0,9786176901051,Пригоди
Штрассер  Тод,Хвиля (мінімальний брак),Українська мова,,,,РМ,2019.0,9789669170996,Пригоди
Шторм М.,Врата времени,російська,,,,Клуб сімейного дозвілля,2021.0,9786171286399,Книги жанру Фантастика. Фентезі. Містика
Шторм М.,Потомки Магеллана,російська,,,,Клуб сімейного дозвілля,2021.0,9786171283329,Пригоди
Штефан Фар,Життя під час війни / збірка віршів (2023),Українська мова,,,,Моторний равлик,2023.0,9786179500053,Поезія
Штегер А.,Прощення,Українська мова,,,,Видавництво Старого Лева,2020.0,9786176795735,Сучасна зарубіжна проза
Шоу,Пігмаліон,Українська мова,,,,BookChef,2021.0,,Класична проза
Шоу,Вечір у Візантії,Українська мова,,,,Видавництво Старого Лева,2020.0,9786176798507,Сучасна українська проза
Шоу,Читаємо англійською: Пігмаліон (Advanced),Українська,,,,Арій,2020.0,9789664983874,Білінгва. Книги іноземними мовами
Шолом-Алейхем,Тев’є-молочар,Українська мова,,,,#Книголав,2019.0,9786177563166,Класична проза
Шляпікас А.,Моє ім'я Маріте,Українська мова,,,,Брайт Букс,2016.0,9789662665994,Сучасна зарубіжна проза
Шлинк Б.,Читець,Українська мова,,,,Фоліо,2019.0,9789660376311,Екранізації
Шлинк Б.,Ольга,Українська мова,,,,Клуб сімейного дозвілля,2018.0,9786171249844,Сучасна зарубіжна проза
Шкема А.,Сонячні дні,Українська мова,,,,Брайт Букс,2017.0,9786177418213,Класична проза
Шкарин А.,Поздний дождь,Українська мова,,,,Брайт Букс,2017.0,9786177418268,Сучасна зарубіжна проза
Ширлі Джексон,Лотерея та інші оповідання,Українська мова,,,,Жорж,2024.0,9786178287030,Сучасна зарубіжна проза
Шир  П.,Пламя и шелк,російська,,,,Клуб сімейного дозвілля,2019.0,9786171260627,Сентиментальна проза
